DataOra,TipActivitate,CantitateHranire,TipHrana,OraInceputSomn,OraSfarsitSomn,TipScutec,TipJoaca,DurataJoacaMinute
2025-06-03 23:26:03,Hranire,15,lapte,0001-01-01 00:00:00,0001-01-01 00:00:00,,,0
2025-06-03 23:29:21,Schimbare scutec,0,,0001-01-01 00:00:00,0001-01-01 00:00:00,Urina,,0
2025-06-03 23:29:36,Joaca,0,,0001-01-01 00:00:00,0001-01-01 00:00:00,,teren,1
2025-06-03 23:47:58,Schimbare scutec,0,,0001-01-01 00:00:00,0001-01-01 00:00:00,Urina,,0
2025-06-03 23:48:04,Joaca,0,,0001-01-01 00:00:00,0001-01-01 00:00:00,,parc,1
2025-06-04 00:54:44,Hranire,12,lapte,0001-01-01 00:00:00,0001-01-01 00:00:00,,,0
2025-06-04 00:55:04,Joaca,0,,0001-01-01 00:00:00,0001-01-01 00:00:00,,parc,1
2025-06-04 00:58:12,Joaca,0,,0001-01-01 00:00:00,0001-01-01 00:00:00,,parc,1
2025-06-04 01:00:55,Schimbare scutec,0,,0001-01-01 00:00:00,0001-01-01 00:00:00,Urina,,0
2025-06-04 01:05:13,Schimbare scutec,0,,0001-01-01 00:00:00,0001-01-01 00:00:00,Urina,,0
2025-06-04 01:13:20,Schimbare scutec,0,,0001-01-01 00:00:00,0001-01-01 00:00:00,Urina,,0
2025-06-04 01:13:44,Schimbare scutec,0,,0001-01-01 00:00:00,0001-01-01 00:00:00,Scaun,,0
2025-06-04 01:16:31,Schimbare scutec,0,,0001-01-01 00:00:00,0001-01-01 00:00:00,Urina,,0
2025-06-04 01:17:14,Schimbare scutec,0,,0001-01-01 00:00:00,0001-01-01 00:00:00,Urina,,0
2025-06-04 01:17:44,Schimbare scutec,0,,0001-01-01 00:00:00,0001-01-01 00:00:00,Scaun,,0
2025-06-04 01:18:54,Somn,0,,2025-06-04 01:18:49,2025-06-04 02:18:49,,,0
2025-06-03 23:29:36,Hranire,100,lapte,0001-01-01 00:00:00,0001-01-01 00:00:00,,,0
